simulation time,steering angle
0.020000,-0.026875
0.040000,-0.029024
0.060000,-0.025624
0.080000,-0.023350
0.100000,-0.022714
0.120000,-0.022496
0.140000,-0.022374
0.160000,-0.020474
0.180000,-0.019590
0.200000,-0.018949
0.220000,-0.017526
0.240000,-0.016504
0.260000,-0.015112
0.280000,-0.014321
0.300000,-0.012736
0.320000,-0.010688
0.340000,-0.008848
0.360000,-0.007173
0.380000,-0.005820
0.400000,-0.004168
0.420000,-0.002638
0.440000,-0.000831
0.460000,0.000413
0.480000,0.001677
0.500000,0.003012
0.520000,0.004100
0.540000,0.004456
0.560000,0.008640
0.580000,0.012616
0.600000,0.007119
0.620000,0.007025
0.640000,0.006131
0.660000,0.006550
0.680000,0.006599
0.700000,0.006730
