simulation time,yL
3.525000,0.112920
3.550000,0.112114
3.575000,0.118588
3.600000,0.083937
3.625000,0.080329
3.650000,0.068516
3.675000,0.056465
3.700000,0.047932
3.725000,0.034847
3.750000,0.025006
3.775000,0.013613
3.800000,-0.003366
3.825000,-0.016088
3.850000,-0.020962
3.875000,-0.020076
3.900000,-0.004563
3.925000,0.003452
3.950000,-0.002711
3.975000,-0.007947
4.000000,-0.011525
4.025000,-0.015213
4.050000,-0.023470
4.075000,-0.029579
4.100000,-0.027658
4.125000,-0.027211
4.150000,-0.019220
4.175000,-0.023948
4.200000,-0.018043
4.225000,-0.017483
4.250000,-0.009733
4.275000,-0.025208
4.300000,-0.017879
4.325000,-0.021633
4.350000,-0.006173
4.375000,-0.017116
4.400000,-0.000378
4.425000,0.007069
4.450000,-0.002025
4.475000,-0.002401
4.500000,-0.001362
4.525000,0.001561
4.550000,-0.000782
4.575000,-0.004379
4.600000,-0.004814
4.625000,-0.024747
4.650000,-0.023245
4.675000,-0.022475
4.700000,-0.031079
4.725000,-0.008387
4.750000,0.000947
4.775000,-0.009809
4.800000,-0.006441
4.825000,-0.002057
4.850000,-0.000456
4.875000,-0.002623
4.900000,-0.007999
4.925000,-0.009492
4.950000,-0.004089
4.975000,-0.004332
5.000000,-0.021183
5.025000,-0.016532
5.050000,-0.004148
5.075000,-0.021417
5.100000,-0.015064
5.125000,-0.003295
5.150000,0.003999
5.175000,0.000065
5.200000,-0.001277
5.225000,-0.003291
5.250000,-0.000649
5.275000,-0.004048
5.300000,-0.003776
5.325000,-0.000953
5.350000,-0.015532
5.375000,-0.006361
5.400000,-0.017494
5.425000,-0.019689
5.450000,-0.000352
5.475000,0.008442
5.500000,0.001384
5.525000,-0.000215
5.550000,0.001741
5.575000,0.005202
5.600000,0.005425
5.625000,0.003880
5.650000,0.000647
5.675000,0.000497
